Date,Crash
2010-01-05,0
2010-01-12,0
2010-01-19,0
2010-01-26,0
2010-02-02,0
2010-02-09,0
2010-02-16,0
2010-02-23,0
2010-03-02,0
2010-03-09,0
2010-03-16,0
2010-03-23,0
2010-03-30,0
2010-04-06,0
2010-04-13,0
2010-04-20,0
2010-04-27,0
2010-05-04,0
2010-05-11,0
2010-05-18,0
2010-05-25,1
2010-06-01,1
2010-06-08,1
2010-06-15,1
2010-06-22,1
2010-06-29,1
2010-07-06,1
2010-07-13,1
2010-07-20,1
2010-07-27,0
2010-08-03,0
2010-08-10,0
2010-08-17,0
2010-08-24,0
2010-08-31,0
2010-09-07,0
2010-09-14,0
2010-09-21,0
2010-09-28,0
2010-10-05,0
2010-10-12,0
2010-10-19,0
2010-10-26,0
2010-11-02,0
2010-11-09,0
2010-11-16,0
2010-11-23,0
2010-11-30,0
2010-12-07,0
2010-12-14,0
2010-12-21,0
2010-12-28,0
2011-01-04,0
2011-01-11,0
2011-01-18,0
2011-01-25,0
2011-02-01,0
2011-02-08,0
2011-02-15,0
2011-02-22,0
2011-03-01,0
2011-03-08,0
2011-03-15,0
2011-03-22,0
2011-03-29,0
2011-04-05,0
2011-04-12,0
2011-04-19,0
2011-04-26,0
2011-05-03,0
2011-05-10,0
2011-05-17,0
2011-05-24,0
2011-05-31,0
2011-06-07,0
2011-06-14,0
2011-06-21,0
2011-06-28,0
2011-07-05,0
2011-07-12,0
2011-07-19,0
2011-07-26,0
2011-08-02,0
2011-08-09,1
2011-08-16,1
2011-08-23,1
2011-08-30,1
2011-09-06,1
2011-09-13,1
2011-09-20,1
2011-09-27,1
2011-10-04,1
2011-10-11,1
2011-10-18,1
2011-10-25,1
2011-11-01,1
2011-11-08,1
2011-11-15,1
2011-11-22,1
2011-11-29,1
2011-12-06,1
2011-12-13,1
2011-12-20,0
2011-12-27,0
2012-01-03,0
2012-01-10,0
2012-01-17,0
2012-01-24,0
2012-01-31,0
2012-02-07,0
2012-02-14,0
2012-02-21,0
2012-02-28,0
2012-03-06,0
2012-03-13,0
2012-03-20,0
2012-03-27,0
2012-04-03,0
2012-04-10,0
2012-04-17,0
2012-04-24,0
2012-05-01,0
2012-05-08,0
2012-05-15,0
2012-05-22,0
2012-05-29,0
2012-06-05,1
2012-06-12,0
2012-06-19,0
2012-06-26,0
2012-07-03,0
2012-07-10,0
2012-07-17,0
2012-07-24,0
2012-07-31,0
2012-08-07,0
2012-08-14,0
2012-08-21,0
2012-08-28,0
2012-09-04,0
2012-09-11,0
2012-09-18,0
2012-09-25,0
2012-10-02,0
2012-10-09,0
2012-10-16,0
2012-10-23,0
2012-10-30,0
2012-11-06,0
2012-11-13,0
2012-11-20,0
2012-11-27,0
2012-12-04,0
2012-12-11,0
2012-12-18,0
2012-12-25,0
2013-01-01,0
2013-01-08,0
2013-01-15,0
2013-01-22,0
2013-01-29,0
2013-02-05,0
2013-02-12,0
2013-02-19,0
2013-02-26,0
2013-03-05,0
2013-03-12,0
2013-03-19,0
2013-03-26,0
2013-04-02,0
2013-04-09,0
2013-04-16,0
2013-04-23,0
2013-04-30,0
2013-05-07,0
2013-05-14,0
2013-05-21,0
2013-05-28,0
2013-06-04,0
2013-06-11,0
2013-06-18,0
2013-06-25,0
2013-07-02,0
2013-07-09,0
2013-07-16,0
2013-07-23,0
2013-07-30,0
2013-08-06,0
2013-08-13,0
2013-08-20,0
2013-08-27,0
2013-09-03,0
2013-09-10,0
2013-09-17,0
2013-09-24,0
2013-10-01,0
2013-10-08,0
2013-10-15,0
2013-10-22,0
2013-10-29,0
2013-11-05,0
2013-11-12,0
2013-11-19,0
2013-11-26,0
2013-12-03,0
2013-12-10,0
2013-12-17,0
2013-12-24,0
2013-12-31,0
2014-01-07,0
2014-01-14,0
2014-01-21,0
2014-01-28,0
2014-02-04,0
2014-02-11,0
2014-02-18,0
2014-02-25,0
2014-03-04,0
2014-03-11,0
2014-03-18,0
2014-03-25,0
2014-04-01,0
2014-04-08,0
2014-04-15,0
2014-04-22,0
2014-04-29,0
2014-05-06,0
2014-05-13,0
2014-05-20,0
2014-05-27,0
2014-06-03,0
2014-06-10,0
2014-06-17,0
2014-06-24,0
2014-07-01,0
2014-07-08,0
2014-07-15,0
2014-07-22,0
2014-07-29,0
2014-08-05,0
2014-08-12,0
2014-08-19,0
2014-08-26,0
2014-09-02,0
2014-09-09,0
2014-09-16,0
2014-09-23,0
2014-09-30,0
2014-10-07,0
2014-10-14,1
2014-10-21,0
2014-10-28,0
2014-11-04,0
2014-11-11,0
2014-11-18,0
2014-11-25,0
2014-12-02,0
2014-12-09,0
2014-12-16,1
2014-12-23,0
2014-12-30,0
2015-01-06,0
2015-01-13,0
2015-01-20,0
2015-01-27,0
2015-02-03,0
2015-02-10,0
2015-02-17,0
2015-02-24,0
2015-03-03,0
2015-03-10,0
2015-03-17,0
2015-03-24,0
2015-03-31,0
2015-04-07,0
2015-04-14,0
2015-04-21,0
2015-04-28,0
2015-05-05,0
2015-05-12,0
2015-05-19,0
2015-05-26,0
2015-06-02,0
2015-06-09,0
2015-06-16,0
2015-06-23,0
2015-06-30,0
2015-07-07,0
2015-07-14,0
2015-07-21,0
2015-07-28,0
2015-08-04,0
2015-08-11,0
2015-08-18,0
2015-08-25,1
2015-09-01,1
2015-09-08,1
2015-09-15,1
2015-09-22,1
2015-09-29,1
2015-10-06,1
2015-10-13,0
2015-10-20,0
2015-10-27,0
2015-11-03,0
2015-11-10,0
2015-11-17,1
2015-11-24,0
2015-12-01,0
2015-12-08,0
2015-12-15,1
2015-12-22,1
2015-12-29,0
2016-01-05,0
2016-01-12,1
2016-01-19,1
2016-01-26,1
2016-02-02,1
2016-02-09,1
2016-02-16,1
2016-02-23,1
2016-03-01,1
2016-03-08,0
2016-03-15,0
2016-03-22,0
2016-03-29,0
2016-04-05,0
2016-04-12,0
2016-04-19,0
2016-04-26,0
2016-05-03,0
2016-05-10,0
2016-05-17,0
2016-05-24,0
2016-05-31,0
2016-06-07,0
2016-06-14,0
2016-06-21,0
2016-06-28,0
2016-07-05,0
2016-07-12,0
2016-07-19,0
2016-07-26,0
2016-08-02,0
2016-08-09,0
2016-08-16,0
2016-08-23,0
2016-08-30,0
2016-09-06,0
2016-09-13,0
2016-09-20,0
2016-09-27,0
2016-10-04,0
2016-10-11,0
2016-10-18,0
2016-10-25,0
2016-11-01,0
2016-11-08,0
2016-11-15,0
2016-11-22,0
2016-11-29,0
2016-12-06,0
2016-12-13,0
2016-12-20,0
2016-12-27,0
2017-01-03,0
2017-01-10,0
2017-01-17,0
2017-01-24,0
2017-01-31,0
2017-02-07,0
2017-02-14,0
2017-02-21,0
2017-02-28,0
2017-03-07,0
2017-03-14,0
2017-03-21,0
2017-03-28,0
2017-04-04,0
2017-04-11,0
2017-04-18,0
2017-04-25,0
2017-05-02,0
2017-05-09,0
2017-05-16,0
2017-05-23,0
2017-05-30,0
2017-06-06,0
2017-06-13,0
2017-06-20,0
2017-06-27,0
2017-07-04,0
2017-07-11,0
2017-07-18,0
2017-07-25,0
2017-08-01,0
2017-08-08,0
2017-08-15,0
2017-08-22,0
2017-08-29,0
2017-09-05,0
2017-09-12,0
2017-09-19,0
2017-09-26,0
2017-10-03,0
2017-10-10,0
2017-10-17,0
2017-10-24,0
2017-10-31,0
2017-11-07,0
2017-11-14,0
2017-11-21,0
2017-11-28,0
2017-12-05,0
2017-12-12,0
2017-12-19,0
2017-12-26,0
2018-01-02,0
2018-01-09,0
2018-01-16,0
2018-01-23,0
2018-01-30,0
2018-02-06,0
2018-02-13,0
2018-02-20,0
2018-02-27,0
2018-03-06,0
2018-03-13,0
2018-03-20,0
2018-03-27,1
2018-04-03,1
2018-04-10,0
2018-04-17,0
2018-04-24,0
2018-05-01,1
2018-05-08,1
2018-05-15,0
2018-05-22,0
2018-05-29,1
2018-06-05,0
2018-06-12,0
2018-06-19,0
2018-06-26,0
2018-07-03,0
2018-07-10,0
2018-07-17,0
2018-07-24,0
2018-07-31,0
2018-08-07,0
2018-08-14,0
2018-08-21,0
2018-08-28,0
2018-09-04,0
2018-09-11,0
2018-09-18,0
2018-09-25,0
2018-10-02,0
2018-10-09,0
2018-10-16,0
2018-10-23,0
2018-10-30,1
2018-11-06,1
2018-11-13,1
2018-11-20,1
2018-11-27,1
2018-12-04,1
2018-12-11,1
2018-12-18,1
2018-12-25,1
2019-01-01,1
2019-01-08,1
2019-01-15,1
2019-01-22,1
2019-01-29,1
2019-02-05,0
2019-02-12,0
2019-02-19,0
2019-02-26,0
2019-03-05,0
2019-03-12,0
2019-03-19,0
2019-03-26,0
2019-04-02,0
2019-04-09,0
2019-04-16,0
2019-04-23,0
2019-04-30,0
2019-05-07,0
2019-05-14,0
2019-05-21,0
2019-05-28,0
2019-06-04,0
2019-06-11,0
2019-06-18,0
2019-06-25,0
2019-07-02,0
2019-07-09,0
2019-07-16,0
2019-07-23,0
2019-07-30,0
2019-08-06,0
2019-08-13,0
2019-08-20,0
2019-08-27,0
2019-09-03,0
2019-09-10,0
2019-09-17,0
2019-09-24,0
2019-10-01,0
2019-10-08,0
2019-10-15,0
2019-10-22,0
2019-10-29,0
2019-11-05,0
2019-11-12,0
2019-11-19,0
2019-11-26,0
2019-12-03,0
2019-12-10,0
2019-12-17,0
2019-12-24,0
2019-12-31,0
2020-01-07,0
2020-01-14,0
2020-01-21,0
2020-01-28,0
2020-02-04,0
2020-02-11,0
2020-02-18,0
2020-02-25,0
2020-03-03,0
2020-03-10,1
2020-03-17,1
2020-03-24,1
2020-03-31,1
2020-04-07,1
2020-04-14,1
2020-04-21,1
2020-04-28,1
2020-05-05,1
2020-05-12,1
2020-05-19,1
2020-05-26,1
2020-06-02,1
2020-06-09,0
2020-06-16,0
2020-06-23,0
2020-06-30,0
2020-07-07,0
2020-07-14,0
2020-07-21,0
2020-07-28,0
2020-08-04,0
2020-08-11,0
2020-08-18,0
2020-08-25,0
2020-09-01,0
2020-09-08,0
2020-09-15,0
2020-09-22,0
2020-09-29,0
2020-10-06,0
2020-10-13,0
2020-10-20,0
2020-10-27,0
2020-11-03,0
2020-11-10,0
2020-11-17,0
2020-11-24,0
2020-12-01,0
2020-12-08,0
2020-12-15,0
2020-12-22,0
2020-12-29,0
2021-01-05,0
2021-01-12,0
2021-01-19,0
2021-01-26,0
2021-02-02,0
2021-02-09,0
2021-02-16,0
2021-02-23,0
2021-03-02,0
2021-03-09,0
2021-03-16,0
2021-03-23,0
2021-03-30,0
2021-04-06,0
2021-04-13,0
2021-04-20,0
